income,age,loan_amount,credit_score,employment_years,debt_ratio,num_accounts,employment_type,target
46689.81,54,23457.51,639,2.2,0.1501,4,full_time,1
64643.23,44,18029.11,584,8.5,0.2901,2,full_time,0
62333.72,65,1000.0,750,4.2,0.2042,3,full_time,1
64373.77,64,5196.87,617,2.4,0.4705,3,self_employed,1
77428.58,64,27009.89,767,3.2,0.6069,3,full_time,0
64471.91,33,18215.43,647,2.7,0.1261,3,full_time,1
73578.27,60,8902.43,596,0.0,0.0407,3,full_time,0
61351.58,44,13636.72,645,2.0,0.125,1,full_time,1
65782.39,53,15105.89,470,5.9,0.1816,1,full_time,1
72625.76,59,20885.87,670,0.1,0.5628,3,full_time,0
30856.88,29,4133.89,666,3.1,0.4901,1,full_time,0
53606.58,41,8272.41,745,3.6,0.1089,3,full_time,1
50592.55,27,17183.65,529,0.3,0.4311,4,full_time,1
47222.44,34,14201.32,772,5.6,0.1928,1,full_time,1
54497.15,40,19574.87,745,15.6,0.1879,9,full_time,0
89898.83,59,5163.94,780,13.2,0.1766,4,part_time,0
42683.38,59,17857.03,675,1.0,0.2808,5,full_time,0
79365.57,39,23732.67,761,0.5,0.3545,2,full_time,1
26342.6,36,18894.55,562,6.9,0.2833,4,full_time,0
53302.3,45,16112.89,737,17.3,0.2045,3,part_time,0
63255.06,62,14232.93,618,0.1,0.7437,3,part_time,1
71724.45,64,8321.19,547,1.9,0.5251,1,self_employed,1
74224.53,31,14424.01,590,1.0,0.4731,1,full_time,1
75866.94,30,25077.65,680,2.1,0.4352,2,full_time,0
53025.5,53,14047.77,614,6.7,0.2578,4,full_time,1
50752.96,35,7881.57,710,0.3,0.2012,3,full_time,1
77159.52,30,11062.02,535,4.0,0.5513,5,self_employed,0
56173.91,23,16606.8,509,0.5,0.3857,4,full_time,0
34486.27,39,12011.89,789,0.0,0.0499,3,part_time,0
37334.26,39,18882.43,752,0.7,0.1234,0,self_employed,0
41610.95,46,19182.75,596,0.2,0.4984,0,part_time,1
69943.21,30,22111.87,679,5.9,0.2279,6,full_time,0
62848.51,53,26388.48,761,1.6,0.4644,4,self_employed,0
73809.71,51,22966.87,713,2.3,0.2496,3,full_time,0
51454.95,42,7526.09,691,1.8,0.3831,8,full_time,0
63170.79,29,7771.72,767,1.6,0.1662,2,full_time,0
72511.81,44,14393.83,621,10.8,0.3515,1,self_employed,0
53813.07,51,11390.6,682,3.5,0.0592,3,part_time,0
69135.5,38,5893.39,678,3.5,0.4723,4,full_time,1
46761.48,33,11466.47,658,4.0,0.376,2,self_employed,0
52738.92,44,11203.9,648,0.7,0.4124,4,full_time,0
52365.24,37,9625.22,685,2.7,0.1257,3,part_time,0
36083.21,39,12473.68,682,5.0,0.3584,6,full_time,0
69739.45,37,24427.61,596,5.4,0.2396,3,full_time,0
50611.95,35,16593.9,744,1.9,0.1504,4,full_time,1
60249.88,53,34774.47,601,0.6,0.3297,0,self_employed,1
69614.93,42,16364.07,662,2.7,0.1244,4,self_employed,0
68930.62,42,12679.47,656,10.8,0.2346,3,full_time,0
73307.7,50,15033.06,708,5.4,0.0395,4,full_time,0
58030.29,37,17051.94,510,1.9,0.4789,3,full_time,1
51534.03,26,18482.03,751,22.3,0.2552,1,part_time,0
58405.64,59,31613.69,625,4.7,0.2172,3,full_time,1
26253.31,24,8237.44,777,19.8,0.3345,2,full_time,1
31057.75,47,21872.37,641,3.2,0.4553,2,full_time,0
33546.01,33,16662.0,676,0.9,0.1072,1,full_time,0
40055.06,31,2431.22,833,1.7,0.395,1,self_employed,0
67995.48,23,21165.59,657,8.2,0.1326,4,full_time,0
41890.42,61,25140.99,779,4.1,0.3315,5,full_time,1
52436.75,40,8142.59,683,0.9,0.1107,3,full_time,0
85984.57,37,14928.53,713,10.9,0.0616,7,full_time,0
52874.72,54,1197.17,685,1.5,0.1172,2,full_time,1
74750.31,23,4929.55,747,9.4,0.161,3,full_time,0
41327.65,46,23384.24,625,0.2,0.369,4,part_time,1
55891.25,43,11268.67,601,6.5,0.2121,2,full_time,0
40999.56,46,6129.58,628,0.2,0.4096,2,full_time,1
53219.34,27,16835.68,687,4.9,0.1972,1,full_time,1
76806.16,63,10820.7,662,2.3,0.1795,3,full_time,0
25453.59,32,11233.43,736,12.2,0.4706,4,full_time,1
68688.47,51,20914.61,784,2.8,0.0782,2,self_employed,1
64754.71,54,5706.13,601,12.0,0.2571,3,full_time,0
48117.0,37,7757.08,621,3.6,0.143,2,part_time,1
31078.84,27,16232.64,565,0.3,0.3069,2,full_time,1
61442.59,35,22755.28,842,1.3,0.4763,3,full_time,0
49410.15,57,24905.28,704,3.0,0.3395,4,full_time,1
64653.52,61,9679.51,718,14.3,0.1823,6,part_time,0
60437.04,63,22499.02,572,1.4,0.0795,1,full_time,1
92035.58,31,8726.86,679,10.0,0.2574,3,part_time,1
55212.89,48,29609.67,720,5.6,0.4544,2,full_time,1
39530.05,28,5929.83,659,8.7,0.2375,5,full_time,0
63585.51,53,25627.83,766,3.5,0.2165,3,full_time,1
64399.93,40,9748.11,850,1.3,0.2514,3,full_time,1
87183.75,53,31105.97,604,1.7,0.5002,5,full_time,0
76702.22,52,19730.57,598,3.8,0.0813,1,full_time,0
67137.42,65,6871.87,609,8.1,0.4262,6,full_time,1
89266.06,43,10822.09,808,4.7,0.5643,4,full_time,0
36224.74,37,21249.45,763,12.3,0.612,3,part_time,1
47204.97,45,23421.16,669,0.0,0.3187,6,part_time,1
41468.48,29,14434.28,682,0.5,0.1662,3,full_time,0
52203.8,26,15357.27,614,3.3,0.4677,3,full_time,1
32466.28,44,21066.82,751,1.4,0.1808,4,full_time,1
72703.02,58,16054.39,649,6.7,0.0197,0,full_time,1
55555.55,45,4651.96,659,2.7,0.3208,3,full_time,0
30583.87,56,8496.21,728,9.3,0.2224,5,full_time,0
39688.42,29,16880.96,664,7.0,0.6295,5,full_time,1
66270.28,41,24723.86,661,12.7,0.1301,5,full_time,0
76762.53,48,27927.86,680,0.6,0.1578,4,full_time,0
99934.62,37,21236.24,743,2.4,0.6021,8,full_time,1
118277.25,22,17298.33,811,0.8,0.2356,4,full_time,0
68288.19,25,20990.51,726,6.0,0.3507,2,full_time,1
40209.24,62,9665.99,744,1.0,0.4644,3,part_time,0
17359.07,48,13774.15,664,3.6,0.152,2,full_time,1
65354.23,33,8406.95,623,6.5,0.3574,1,full_time,1
43741.18,33,5010.06,732,3.9,0.2282,4,self_employed,0
51692.85,23,17668.39,693,5.2,0.284,7,full_time,0
47758.06,63,16484.11,566,0.3,0.4224,3,full_time,0
57184.18,26,20501.22,653,3.2,0.2662,1,part_time,1
81319.6,55,19368.89,673,2.0,0.383,7,part_time,1
63140.97,32,16941.15,639,2.0,0.3522,5,self_employed,0
56827.3,36,19452.93,798,4.8,0.2819,3,self_employed,0
39286.92,34,14658.54,718,6.8,0.189,2,part_time,0
26506.34,58,18303.13,789,1.6,0.3108,4,full_time,0
50273.84,23,9190.84,701,6.4,0.2696,4,full_time,0
58924.35,37,17957.65,686,7.0,0.2533,2,full_time,1
95358.6,34,20347.34,605,0.7,0.3852,4,full_time,0
62605.49,34,9642.55,680,15.5,0.3679,1,self_employed,0
79654.79,30,15414.66,681,8.2,0.2639,1,full_time,1
50014.09,62,10011.18,570,12.2,0.1554,3,self_employed,0
36301.12,38,10787.95,636,3.0,0.2589,4,full_time,0
40697.66,40,6000.57,654,1.5,0.4783,5,full_time,1
45495.48,38,25126.2,713,0.2,0.3516,4,self_employed,0
102569.39,65,23525.48,716,8.5,0.4765,7,full_time,0
43572.27,36,19299.47,633,18.0,0.693,3,full_time,1
76769.78,37,30777.57,717,4.3,0.2768,4,full_time,0
41941.46,36,13486.03,665,3.0,0.3369,1,full_time,0
78631.46,36,39254.1,450,5.2,0.2247,4,full_time,1
67699.02,25,13179.76,641,0.5,0.653,2,part_time,1
56867.24,48,17041.55,766,1.2,0.714,2,self_employed,0
59184.75,23,11817.78,545,4.0,0.2519,6,part_time,1
46904.25,31,17978.6,689,3.3,0.1696,1,part_time,0
68921.44,30,21684.92,806,13.6,0.1629,2,part_time,1
50900.33,34,14088.67,619,3.6,0.3374,3,full_time,0
35487.88,55,29213.76,680,1.9,0.2406,3,part_time,0
34441.25,48,16913.19,575,2.3,0.3735,3,part_time,1
63451.76,65,17163.88,810,4.7,0.2362,3,full_time,0
91581.83,37,7728.02,673,0.7,0.2621,3,full_time,1
63199.83,62,18347.99,683,1.8,0.4165,3,part_time,1
57627.23,23,13927.78,788,1.6,0.4017,7,self_employed,1
65716.52,44,10134.08,732,12.7,0.3583,1,self_employed,1
86120.03,57,8788.2,609,1.9,0.6201,5,full_time,1
64387.65,45,36374.11,628,1.5,0.245,5,part_time,1
51781.46,63,12892.18,719,0.8,0.2725,9,full_time,1
82125.77,35,3344.12,630,2.8,0.0956,0,self_employed,1
68575.13,23,9414.23,510,0.2,0.3014,4,full_time,1
90715.12,56,14587.46,675,4.8,0.2211,3,self_employed,0
63664.69,24,19373.34,561,5.4,0.1272,5,self_employed,1
35510.62,55,19438.37,809,0.6,0.4203,2,full_time,0
32636.82,54,20412.92,694,0.1,0.3428,1,self_employed,1
93018.56,59,9841.12,607,1.9,0.7825,2,part_time,1
94473.31,43,17723.52,624,16.5,0.5859,3,full_time,0
56409.62,61,7991.52,528,9.8,0.0395,0,full_time,1
52336.25,29,10042.86,592,6.6,0.3865,3,part_time,0
89228.89,41,7658.33,761,8.3,0.2455,0,full_time,0
37859.09,27,5492.89,850,9.9,0.0547,2,full_time,0
42105.46,55,23513.68,738,1.9,0.1606,4,full_time,1
72866.54,53,20508.89,672,3.0,0.243,3,full_time,0
52107.9,57,22813.32,645,6.0,0.613,3,full_time,1
59897.56,55,15314.5,603,1.5,0.2322,1,part_time,0
56731.14,35,21214.46,844,11.9,0.1827,0,full_time,0
66751.49,24,1000.0,664,4.7,0.0548,2,full_time,1
88149.64,62,21904.7,849,4.2,0.1303,6,full_time,0
61811.7,43,16416.96,791,2.1,0.2428,0,self_employed,1
72878.78,26,20016.88,540,0.5,0.3785,1,full_time,0
18996.56,62,18040.19,626,5.5,0.0893,2,part_time,0
59025.63,65,7103.56,626,6.2,0.2803,5,part_time,1
43135.39,41,3015.68,673,11.1,0.4139,2,self_employed,0
35623.74,55,9303.57,675,4.2,0.1002,4,full_time,1
42436.95,23,19519.34,850,5.2,0.3761,5,full_time,1
53317.53,26,20520.73,593,6.0,0.2758,3,full_time,0
78318.05,34,4056.46,698,4.3,0.2367,3,full_time,0
33472.15,50,7151.21,729,2.1,0.1773,2,full_time,0
60612.63,27,9214.11,679,4.0,0.1802,2,full_time,0
50316.61,23,12141.56,688,1.0,0.5413,1,full_time,1
53446.54,51,4103.59,596,0.9,0.3298,4,full_time,0
80055.16,55,3623.59,688,14.1,0.6086,2,full_time,0
70762.31,54,8425.32,720,1.1,0.3496,4,full_time,0
86747.96,57,15690.03,706,3.0,0.1488,5,part_time,0
56909.89,57,5555.25,725,3.0,0.4626,2,full_time,0
46081.15,48,14073.57,793,3.9,0.4065,4,full_time,0
55522.82,44,23468.42,754,18.1,0.5706,2,full_time,0
64849.94,59,4585.76,685,1.4,0.2987,2,part_time,1
63531.47,37,13348.43,586,0.2,0.5545,0,part_time,0
38312.24,26,23198.05,631,2.2,0.1677,1,full_time,0
61809.8,55,11653.85,662,2.2,0.1384,2,full_time,0
64564.57,34,10410.64,700,0.7,0.3914,5,part_time,0
110349.48,65,24307.97,641,0.1,0.1887,3,part_time,0
97536.89,40,12550.38,605,1.6,0.5417,2,full_time,1
42935.13,59,23835.96,584,4.3,0.0984,3,full_time,1
54252.33,23,18431.72,547,0.1,0.096,5,full_time,0
30731.16,51,12257.24,661,2.5,0.2112,5,part_time,0
48185.86,41,18837.52,562,2.9,0.0813,4,full_time,0
66312.1,42,17563.6,599,10.6,0.3033,1,part_time,1
84117.07,33,23167.06,648,11.3,0.1915,0,part_time,0
45418.32,64,10613.24,573,7.2,0.0822,1,part_time,1
46917.07,39,15329.65,710,2.4,0.0193,2,self_employed,1
17054.22,59,14507.87,739,1.4,0.1812,0,full_time,0
56746.68,40,20633.19,636,1.9,0.0061,2,part_time,0
38751.71,24,6798.57,645,2.8,0.1532,2,part_time,0
49411.21,60,23135.82,722,6.1,0.3726,4,part_time,0
42462.78,30,18730.63,622,4.4,0.3803,0,full_time,1
58114.75,33,4464.6,617,0.1,0.4736,5,full_time,1
24845.43,59,24666.1,775,4.0,0.2524,1,self_employed,0
30659.1,61,32872.74,750,8.0,0.4049,4,full_time,1
102584.94,62,23014.67,728,12.2,0.0906,3,self_employed,0
34251.55,40,26415.88,754,0.3,0.3127,4,full_time,1
38064.29,55,15682.97,521,26.5,0.3865,5,full_time,1
96738.27,36,1707.96,788,3.9,0.178,1,self_employed,0
118101.34,54,1000.0,711,0.4,0.4145,3,part_time,0
36568.67,44,17040.66,760,6.5,0.2371,4,full_time,1
52635.02,24,10264.17,710,10.0,0.2573,0,full_time,1
66831.11,40,7683.39,683,1.8,0.0421,4,full_time,1
94573.95,42,14498.03,657,1.3,0.4178,1,full_time,1
40262.86,33,19924.68,709,2.1,0.4277,3,full_time,0
55094.44,38,3377.94,655,4.8,0.2278,6,full_time,0
75546.75,44,11408.98,749,1.7,0.4868,5,full_time,1
68695.32,24,27078.97,553,0.6,0.1436,2,full_time,0
52476.88,28,6397.69,636,2.4,0.4347,2,self_employed,0
57323.54,55,21958.09,843,1.6,0.1839,1,part_time,0
32502.08,37,11122.15,629,4.0,0.398,1,full_time,0
55236.53,48,19366.35,660,8.4,0.1454,1,self_employed,0
54672.25,46,23778.62,609,2.6,0.1635,8,full_time,1
64643.4,46,20930.25,706,11.5,0.0723,2,full_time,0
48893.46,40,22273.28,621,5.3,0.2054,3,full_time,1
69430.77,43,5787.25,665,3.2,0.6171,2,self_employed,0
80254.32,58,23909.28,747,6.1,0.0656,5,full_time,0
63108.59,64,8178.46,624,8.5,0.055,3,full_time,0
67035.13,33,17076.33,743,5.1,0.5048,5,self_employed,1
61063.11,51,17065.97,745,0.5,0.4765,3,part_time,1
60001.69,64,18880.98,764,0.1,0.2202,2,part_time,0
45568.84,22,17695.65,691,8.0,0.0567,3,part_time,0
66329.89,56,8249.52,850,0.6,0.1436,6,part_time,0
58054.27,43,4201.06,764,3.9,0.1849,4,full_time,1
101863.37,64,21978.79,705,0.5,0.2599,5,part_time,0
91467.1,47,16486.68,609,12.2,0.2634,5,full_time,0
67716.93,58,24195.01,672,2.0,0.0863,2,full_time,1
44738.86,29,14642.14,794,5.0,0.4878,2,self_employed,0
37751.77,28,3758.69,816,1.4,0.2142,2,full_time,0
83822.86,62,22729.04,798,3.7,0.1652,4,full_time,0
65254.98,45,12037.04,742,0.1,0.1575,1,full_time,1
69602.87,46,17736.03,579,1.5,0.0688,5,part_time,0
25108.28,29,9820.32,718,6.8,0.4809,3,self_employed,0
78548.77,31,28154.41,580,2.4,0.0931,4,full_time,1
69088.41,58,7987.48,561,3.1,0.2327,5,full_time,0
37791.39,35,12300.56,699,6.7,0.4418,4,part_time,0
50569.5,47,15859.59,721,1.4,0.0725,0,full_time,1
65274.34,35,6262.54,752,0.3,0.2426,4,full_time,0
61049.34,33,17644.16,719,2.4,0.2826,5,full_time,0
54156.58,29,27895.28,722,5.2,0.2304,2,full_time,0
57930.23,62,11076.3,601,4.2,0.3305,4,full_time,1
54960.45,63,18161.14,671,8.2,0.1435,3,part_time,0
63051.25,27,1000.0,559,14.7,0.2174,0,full_time,0
89429.84,37,14688.57,519,9.2,0.3729,1,part_time,0
15000.0,46,12495.66,739,1.2,0.342,2,part_time,1
55262.99,38,8452.02,619,7.3,0.221,1,full_time,1
63530.25,53,23651.6,749,5.2,0.3061,1,part_time,0
65919.88,33,12390.05,768,3.4,0.111,1,full_time,0
52561.71,24,13580.18,630,1.5,0.2819,3,full_time,0
24865.56,36,11982.46,727,6.9,0.254,2,full_time,1
66559.91,48,1000.0,627,2.3,0.7464,8,part_time,0
94547.0,29,5944.11,532,0.0,0.083,1,part_time,1
29322.77,57,22688.75,689,6.0,0.4288,3,full_time,0
77276.56,22,1000.0,642,1.6,0.3706,1,part_time,0
53429.5,24,8869.48,644,9.3,0.046,3,full_time,0
58773.51,44,11802.24,838,9.8,0.2689,1,full_time,0
38942.03,44,28948.97,557,0.7,0.4845,4,full_time,0
53310.88,34,21148.83,710,8.1,0.2954,6,self_employed,0
86000.89,33,10542.64,600,2.2,0.5175,2,full_time,0
71653.1,25,25436.11,752,1.6,0.3674,4,full_time,0
94646.23,51,9075.87,703,3.0,0.2374,4,part_time,0
83548.24,38,23072.8,710,1.4,0.0222,3,full_time,0
68781.73,27,4128.98,604,1.6,0.4062,3,full_time,1
94878.69,39,23586.06,618,4.1,0.3762,4,full_time,0
68779.86,63,11750.93,754,2.8,0.6429,6,full_time,1
76559.76,33,6771.97,821,9.9,0.5318,1,full_time,0
54068.58,61,13262.85,718,5.0,0.191,4,full_time,0
61330.92,33,17218.75,608,7.7,0.409,1,part_time,1
46051.52,30,11042.01,707,2.1,0.3021,3,part_time,1
79791.68,33,19431.63,850,6.8,0.1748,2,self_employed,0
36433.93,36,10336.05,688,7.0,0.2648,3,full_time,1
75647.01,27,19962.98,796,9.6,0.3307,4,full_time,0
56186.98,47,18537.78,620,1.8,0.1782,4,full_time,0
83424.94,36,14512.62,676,0.4,0.3959,1,full_time,0
75017.38,53,11468.94,729,3.6,0.28,4,full_time,1
96412.92,43,16212.33,711,0.1,0.537,1,full_time,1
74615.49,41,19402.03,618,12.6,0.2563,4,part_time,0
28559.19,42,31494.39,615,0.3,0.0899,1,part_time,1
58660.94,28,22515.36,759,3.4,0.3247,4,full_time,1
36559.86,53,22807.92,775,8.1,0.3813,4,self_employed,0
49634.4,26,39708.1,800,2.1,0.1948,5,full_time,0
90224.57,53,19127.67,824,7.2,0.3016,2,self_employed,0
72750.68,65,18877.15,690,5.6,0.1148,1,full_time,1
46021.39,55,20632.12,655,0.7,0.2144,0,full_time,1
39725.65,42,6928.27,788,5.7,0.1684,5,full_time,0
60655.64,35,11448.79,737,2.7,0.2506,1,full_time,0
35668.8,60,10950.65,601,2.0,0.3355,3,part_time,0
46577.19,33,20180.91,597,5.4,0.6203,2,full_time,1
66240.19,43,13606.6,719,10.4,0.077,2,part_time,1
83106.24,55,16105.79,665,9.7,0.6712,1,full_time,0
72175.23,62,23699.64,677,7.1,0.2402,4,self_employed,1
15000.0,62,21905.21,765,5.0,0.1604,5,full_time,1
66087.33,25,13706.23,740,5.3,0.4946,3,part_time,0
61440.67,61,9640.04,786,5.8,0.5471,1,part_time,1
68277.81,27,24082.2,525,3.4,0.607,3,full_time,1
92324.19,47,21191.13,700,5.3,0.6017,1,full_time,1
18735.23,62,2149.95,735,0.7,0.0597,2,full_time,1
48177.93,50,12494.77,557,8.6,0.3446,8,part_time,0
71818.13,63,16324.12,627,1.4,0.3004,3,part_time,0
28368.11,37,21230.64,612,2.5,0.464,1,full_time,1
89518.98,35,22280.81,681,15.2,0.2589,4,self_employed,1
67367.13,36,17271.25,810,4.5,0.3548,5,self_employed,0
76931.68,37,19681.98,841,0.9,0.1423,3,part_time,1
48581.13,52,15513.09,614,0.1,0.4477,5,full_time,0
76275.27,41,9609.19,722,0.6,0.0168,3,full_time,1
81369.43,54,12909.88,724,0.9,0.1859,6,self_employed,0
64657.56,40,15151.93,711,3.4,0.1229,2,part_time,1
64688.02,35,14722.57,711,3.6,0.3204,1,full_time,0
65406.86,30,1000.0,704,2.4,0.0733,3,self_employed,0
42733.09,46,11820.13,815,2.7,0.1036,5,full_time,1
57049.43,61,15449.65,768,13.8,0.1653,4,part_time,0
56949.55,59,12749.04,595,5.4,0.3748,5,part_time,1
67667.88,33,13025.41,743,3.3,0.3288,4,part_time,0
79996.48,43,18903.93,751,1.6,0.3032,2,part_time,0
38829.28,53,6368.34,705,0.9,0.2423,1,full_time,1
57499.82,48,1975.66,770,0.8,0.5513,0,full_time,0
89629.11,24,12214.64,695,5.1,0.2243,2,self_employed,1
45128.24,48,21112.92,696,0.4,0.4938,1,part_time,0
43555.0,23,28500.42,689,4.7,0.1671,1,full_time,0
64046.12,27,21257.03,518,9.5,0.3461,3,self_employed,1
76887.7,50,3253.89,673,2.1,0.1789,4,full_time,0
60228.52,26,13141.06,626,31.7,0.468,2,full_time,0
86579.21,36,17053.08,585,2.0,0.389,4,self_employed,1
77135.88,47,16420.73,794,2.5,0.513,6,part_time,0
76836.4,50,19314.44,720,22.9,0.134,3,self_employed,0
71082.33,41,7663.61,677,2.3,0.1938,1,self_employed,0
106553.06,26,15519.54,634,2.7,0.1534,1,full_time,0
55896.77,57,18362.58,703,7.3,0.0678,4,full_time,0
19929.55,63,21605.37,759,8.6,0.1005,2,part_time,0
92085.09,61,8554.25,613,6.3,0.2768,2,full_time,0
50846.01,54,12238.75,679,4.0,0.1776,2,full_time,0
62157.61,39,1000.0,749,1.1,0.2739,4,full_time,0
86191.01,60,10028.3,525,0.6,0.195,6,full_time,0
27954.81,43,10804.68,675,0.1,0.1651,4,full_time,1
34967.06,28,6843.32,645,4.5,0.3113,4,full_time,1
27974.44,59,16324.9,669,7.6,0.162,4,part_time,1
44117.27,36,14552.44,639,4.3,0.1836,1,full_time,1
68792.73,63,1000.0,691,0.5,0.0823,3,full_time,1
70483.76,38,16724.06,833,1.2,0.1556,2,full_time,0
65525.48,60,7573.41,654,2.2,0.3515,2,part_time,1
31744.68,45,18885.51,703,0.6,0.4242,5,full_time,1
15000.0,42,4745.19,839,2.6,0.3616,2,full_time,1
61087.07,35,15240.05,635,5.9,0.4681,2,part_time,0
50564.48,58,12734.69,825,10.4,0.0467,2,full_time,0
69187.72,24,17424.82,680,11.8,0.1961,3,full_time,0
74039.07,42,15997.58,822,11.3,0.1141,0,self_employed,0
62764.83,38,12958.69,740,0.5,0.1665,2,full_time,0
75202.66,45,2709.82,704,14.3,0.0322,2,full_time,1
64584.23,33,3182.34,674,5.5,0.1492,6,full_time,1
70601.29,51,10328.9,630,17.1,0.2365,3,part_time,1
45906.53,38,14933.76,686,0.5,0.3065,7,self_employed,1
56407.77,30,10134.02,751,0.8,0.3663,2,part_time,0
63935.52,30,20001.7,678,21.5,0.1423,3,self_employed,0
76410.57,52,12766.23,654,5.3,0.4947,2,part_time,0
52125.18,33,7279.9,659,7.0,0.5647,4,full_time,0
70423.35,35,12775.23,759,8.5,0.6181,2,full_time,0
54683.22,49,16806.88,778,0.6,0.5617,1,part_time,1
57649.16,36,17599.08,626,1.4,0.2506,7,part_time,1
76590.38,39,30027.03,626,0.0,0.2275,2,full_time,0
20138.79,32,9648.73,710,21.3,0.0908,4,full_time,0
34070.55,37,14412.17,802,2.7,0.3959,3,full_time,1
30356.29,52,18408.99,771,0.2,0.277,2,full_time,1
15000.0,45,14812.62,579,0.1,0.5866,2,full_time,0
46434.71,65,10995.05,658,1.4,0.1549,3,part_time,0
74988.68,55,2605.94,605,1.2,0.2961,5,part_time,0
54302.32,22,10913.32,658,11.3,0.2207,9,full_time,0
63955.8,38,6410.38,808,0.4,0.2438,0,self_employed,0
81784.35,34,1187.15,566,5.0,0.6158,2,full_time,0
86553.72,47,8634.57,550,2.2,0.1079,2,full_time,0
58617.24,33,6623.27,613,0.4,0.2029,3,part_time,0
87071.72,64,19670.29,702,1.3,0.2402,3,self_employed,0
61842.53,35,19808.73,729,10.6,0.3178,2,self_employed,0
43252.04,44,7768.97,714,1.1,0.1389,3,full_time,1
48111.99,27,12918.17,774,3.1,0.3762,1,full_time,0
30389.27,62,1000.0,538,11.0,0.2163,1,part_time,1
42237.32,62,11045.28,775,2.8,0.4532,3,part_time,1
52839.67,56,18191.86,655,23.7,0.0812,2,full_time,0
76071.7,37,21599.5,738,5.5,0.0246,2,full_time,0
94415.4,24,9295.62,574,3.0,0.2093,3,full_time,0
32356.37,53,23414.84,680,8.2,0.3015,1,full_time,1
67856.55,40,2874.46,698,3.2,0.1,3,full_time,1
39189.12,65,5018.98,772,3.1,0.4201,2,part_time,1
69493.94,52,20677.29,553,4.1,0.4219,2,full_time,0
57378.27,45,28368.97,682,2.1,0.1109,3,part_time,1
23381.88,65,18947.46,593,3.6,0.2433,6,full_time,0
78565.94,57,14677.26,720,7.2,0.1137,1,full_time,0
47899.99,42,1000.0,742,6.7,0.3607,7,full_time,1
49322.0,22,1000.0,782,0.2,0.0694,2,self_employed,1
38604.95,26,16035.28,637,2.8,0.0857,5,full_time,1
46914.33,41,12135.5,754,1.2,0.1212,2,self_employed,0
68557.81,46,6153.32,788,1.3,0.2642,3,full_time,0
56215.11,23,15524.26,548,2.9,0.1133,6,full_time,1
66573.24,27,15921.05,728,6.2,0.3665,4,self_employed,1
67238.44,52,22555.33,756,1.4,0.3721,3,full_time,0
86413.23,55,16092.82,659,1.3,0.5768,3,full_time,1
53144.28,23,24827.15,583,8.2,0.1952,8,self_employed,0
30462.84,44,15063.95,755,1.3,0.2355,4,full_time,1
81344.45,25,14077.32,584,2.0,0.5238,4,full_time,0
53370.24,53,23514.5,665,1.6,0.0565,3,self_employed,1
